BR: 102870 M1 bars
CR: 101943 M1 bars
GD: 102880 M1 bars
RN: 66364 M1 bars
Si: 101950 M1 bars
MM: 89294 M1 bars
GZ: 101269 M1 bars
NG: 102970 M1 bars

=== BR 3мин ===
risk%  ret%     MDD    PF     WR    Trades
MM      5m   5%   +153.9%   16.1%  2.05  54.0%   211
MM     10m   1%    +10.7%    2.8%  1.61  54.9%   233
MM     10m   2%    +29.3%    7.2%  1.56  54.9%   233
MM     10m   3%    +48.1%   11.1%  1.54  54.9%   233
MM     10m   4%    +72.8%   15.3%  1.53  54.9%   233
MM     10m   5%    +98.2%   19.0%  1.51  54.9%   233
MM     15m   1%    +11.4%    2.5%  1.97  56.1%   198
MM     15m   2%    +30.9%    5.5%  1.94  56.1%   198
MM     15m   3%    +52.8%    8.9%  1.90  56.1%   198
MM     15m   4%    +79.5%   12.6%  1.87  56.1%   198
MM     15m   5%   +112.1%   15.8%  1.87  56.1%   198
NG      3m   1%   +100.1%    2.1%  3.21  50.8%   884
NG      3m   2%   +100.1%    2.1%  3.21  50.8%   884
NG      3m   3%   +100.1%    2.1%  3.21  50.8%   884
NG      3m   4%   +100.1%    2.1%  3.21  50.8%   884
NG      3m   5%   +100.1%    2.1%  3.21  50.8%   884
NG      3m   7%   +100.1%    2.1%  3.21  50.8%   884
NG      3m  10%   +100.1%    2.1%  3.21  50.8%   884
NG      3m  15%   +196.2%    2.3%  3.22  50.8%   884
NG      5m   1%    +51.0%    2.6%  2.06  45.3%   878
NG      5m   2%    +51.0%    2.6%  2.06  45.3%   878
NG      5m   3%    +51.0%    2.6%  2.06  45.3%   878
NG      5m   4%    +51.0%    2.6%  2.06  45.3%   878
NG      5m   5%    +51.0%    2.6%  2.06  45.3%   878
NG      5m   7%    +51.0%    2.6%  2.06  45.3%   878
NG      5m  10%    +51.0%    2.6%  2.06  45.3%   878
NG      5m  15%    +65.2%    4.1%  1.99  45.3%   878
NG     10m   1%    +49.6%    2.3%  2.54  49.4%   699
NG     10m   2%    +49.6%    2.3%  2.54  49.4%   699
NG     10m   3%    +49.6%    2.3%  2.54  49.4%   699
NG     10m   4%    +49.6%    2.3%  2.54  49.4%   699
NG     10m   5%    +49.6%    2.3%  2.54  49.4%   699
NG     10m   7%    +49.6%    2.3%  2.54  49.4%   699
NG     10m  10%    +49.6%    2.3%  2.54  49.4%   699
NG     10m  15%    +61.3%    2.3%  2.62  49.4%   699
NG     15m   1%    +31.3%    2.5%  2.21  50.2%   556
NG     15m   2%    +31.3%    2.5%  2.21  50.2%   556
NG     15m   3%    +31.3%    2.5%  2.21  50.2%   556
NG     15m   4%    +31.3%    2.5%  2.21  50.2%   556
NG     15m   5%    +31.3%    2.5%  2.21  50.2%   556
NG     15m   7%    +31.3%    2.5%  2.21  50.2%   556
NG     15m  10%    +31.3%    2.5%  2.21  50.2%   556
NG     15m  15%    +31.3%    2.5%  2.21  50.2%   556

Results saved to reports/sweep/dragon_full_sweep_results.json
