entry_time,session,dow,hour,month,adx,atr_pct,atr_percentile,di_spread,close,divergence,dir,ret_pct,pnl_net,bars_held,reason,entry_px,exit_px
2026-04-27 19:25:00+08:00,close,0,19.42,4,18.21,0.1882,4.0,-14.07,101.74,-2.2388,LONG,0.3341851779044657,201.78292183247254,10,time_stop,101.74,102.08
2026-04-27 20:25:00+08:00,close,0,20.42,4,36.83,0.1944,12.0,24.33,102.13,-2.8532,LONG,2.5849407617742104,1576.880111530871,10,time_stop,102.13,104.77
2026-04-28 10:05:00+08:00,open,1,10.08,4,59.76,0.3725,100.0,15.12,104.69,-2.5307,LONG,-0.1432801604737716,-90.6451056462474,10,time_stop,104.69,104.54
2026-04-28 10:55:00+08:00,open,1,10.92,4,30.65,0.1797,6.0,8.29,104.54,-4.6128,LONG,1.3678974555194112,843.6759485920026,10,time_stop,104.54,105.97
2026-04-28 11:45:00+08:00,open,1,11.75,4,54.41,0.2528,58.0,41.46,105.97,-2.2387,LONG,-1.4721147494573956,-918.3161989487778,10,time_stop,105.97,104.41
2026-04-28 12:35:00+08:00,mid,1,12.58,4,51.67,0.4659,100.0,-42.01,104.41,-2.0527,LONG,-0.0670433866487819,-43.42324678915511,10,time_stop,104.41,104.34
2026-04-28 13:25:00+08:00,mid,1,13.42,4,38.59,0.549,100.0,-25.41,104.34,-3.1766,LONG,0.23001725129384215,140.0679005542888,10,time_stop,104.34,104.58
2026-04-28 14:20:00+08:00,mid,1,14.33,4,27.0,0.4412,82.0,0.97,104.58,-2.7648,LONG,-0.40160642570281285,-250.32953299701109,10,time_stop,104.58,104.16
2026-04-28 15:10:00+08:00,mid,1,15.17,4,30.14,0.4108,71.0,-14.14,104.16,-3.6628,LONG,0.30721966205837886,187.58184009142377,10,time_stop,104.16,104.48
2026-04-28 16:00:00+08:00,mid,1,16.0,4,20.19,0.3323,48.0,-6.84,104.48,-3.3059,LONG,-0.535987748851457,-333.25479256402815,10,time_stop,104.48,103.92
2026-04-28 16:50:00+08:00,mid,1,16.83,4,25.61,0.2296,28.0,-17.4,103.92,2.9161,SHORT,-0.35604311008468487,-221.45091816015145,10,time_stop,103.92,104.29
2026-04-28 18:10:00+08:00,close,1,18.17,4,21.34,0.1688,2.0,14.22,104.52,3.0301,SHORT,-0.08610792192882072,-54.97818055204618,10,time_stop,104.52,104.61
2026-04-28 19:35:00+08:00,close,1,19.58,4,24.6,0.1414,1.0,-12.79,104.57,2.4789,SHORT,0.06694080520225035,39.16714788841066,10,time_stop,104.57,104.5
2026-04-28 20:25:00+08:00,close,1,20.42,4,33.68,0.1005,7.0,-2.47,104.5,3.1922,SHORT,-2.832535885167458,-1744.5030395636525,10,time_stop,104.5,107.46
2026-04-29 09:30:00+08:00,open,2,9.5,4,58.93,0.3583,65.0,49.34,107.46,4.5604,SHORT,0.055834729201552274,31.861066431219946,10,time_stop,107.46,107.4
2026-04-29 10:20:00+08:00,open,2,10.33,4,33.86,0.2068,24.0,1.93,107.4,2.0926,SHORT,-0.23277467411545621,-143.2036790305926,10,time_stop,107.4,107.65
2026-04-29 11:15:00+08:00,open,2,11.25,4,22.48,0.1526,16.0,13.75,107.67,-3.8451,LONG,-0.02786291446085366,-18.88200018724703,10,time_stop,107.67,107.64
2026-04-29 12:05:00+08:00,mid,2,12.08,4,17.32,0.2031,43.0,-1.44,107.64,-3.8567,LONG,0.7060572277963629,425.72987579589284,10,time_stop,107.64,108.4
2026-04-29 12:55:00+08:00,mid,2,12.92,4,47.65,0.2227,62.0,28.8,108.4,-2.1864,LONG,1.116236162361618,676.5925863274529,10,time_stop,108.4,109.61
2026-04-29 16:05:00+08:00,mid,2,16.08,4,44.78,0.3773,94.0,19.13,110.36,2.3785,SHORT,-0.7158390721275881,-439.60115017548674,10,time_stop,110.36,111.15
2026-04-29 16:55:00+08:00,mid,2,16.92,4,45.5,0.3669,84.0,21.66,111.15,2.9295,SHORT,0.36887089518669436,222.68449405706505,10,time_stop,111.15,110.74
2026-04-29 18:15:00+08:00,close,2,18.25,4,26.83,0.3707,86.0,-15.84,110.41,4.2042,SHORT,-0.3170002717145264,-195.44231683025248,10,time_stop,110.41,110.76
2026-04-29 19:10:00+08:00,close,2,19.17,4,15.04,0.2329,25.0,5.22,110.7,3.2629,SHORT,-0.6865401987353125,-420.27488668975093,10,time_stop,110.7,111.46
2026-04-29 20:00:00+08:00,close,2,20.0,4,41.89,0.257,36.0,14.7,111.46,6.3512,SHORT,-0.5113942221424793,-312.492500670293,10,time_stop,111.46,112.03
2026-04-30 09:10:00+08:00,open,3,9.17,4,44.85,0.2215,5.0,36.28,112.22,3.3835,SHORT,1.7020139012653688,1028.7167388221897,10,time_stop,112.22,110.31
2026-04-30 10:00:00+08:00,open,3,10.0,4,46.23,0.5206,100.0,-22.3,110.31,3.1706,SHORT,-0.12691505756504448,-79.51085099188948,10,time_stop,110.31,110.45
2026-04-30 12:40:00+08:00,mid,3,12.67,4,34.66,0.3862,61.0,19.0,110.04,3.1457,SHORT,0.372591784805535,225.40490779144565,10,time_stop,110.04,109.63
